1,CHH,Larry Johnson,UNLV,10,707,25685,11450,5300,2298,.484,.332,.766,36.3,16.2,7.5,3.3,69.7,.130,1.4,21.9,0.0
2,NJN,Kenny Anderson,Georgia Tech,14,858,25868,10789,2641,5196,.421,.346,.790,30.1,12.6,3.1,6.1,62.5,.116,1.4,21.9,1004.0
3,SAC,Billy Owens,Syracuse,10,600,17619,7026,4016,1704,.481,.291,.629,29.4,11.7,6.7,2.8,28.6,.078,-0.2,7.8,415.0
4,DEN,Dikembe Mutombo,Georgetown,18,1196,36791,11729,12359,1240,.518,.000,.684,30.8,9.8,10.3,1.0,117.0,.153,1.7,34.0,3117.0
5,MIA,Steve Smith,Michigan State,14,942,28855,13430,3060,2922,.440,.358,.845,30.6,14.3,3.2,3.1,83.7,.139,1.4,24.6,2902.0
6,DAL,Doug Smith,Missouri,5,296,5833,2356,1234,400,.425,.083,.773,19.7,8.0,4.2,1.4,3.0,.024,-3.6,-2.4,0.0
7,MIN,Luc Longley,New Mexico,10,567,12006,4090,2794,836,.462,.000,.760,21.2,7.2,4.9,1.5,17.5,.070,-2.6,-1.9,1914.0
8,DEN,Mark Macon,Temple,6,251,5018,1685,467,428,.384,.270,.735,20.0,6.7,1.9,1.7,0.1,.001,-3.7,-2.2,0.0
9,ATL,Stacey Augmon,UNLV,15,1001,21658,7990,3216,1561,.469,.152,.728,21.6,8.0,3.2,1.6,43.8,.097,-0.2,9.8,1473.0
10,ORL,Bison Dele,Arizona,8,413,10004,4536,2564,440,.528,.143,.691,24.2,11.0,6.2,1.1,22.8,.109,-0.6,3.4,791.0
11,CLE,Terrell Brandon,Oregon,11,724,21545,9994,2174,4407,.448,.355,.873,29.8,13.8,3.0,6.1,65.9,.147,3.6,30.3,946.0
12,NYK,Greg Anthony,UNLV,11,757,15850,5497,1417,2997,.403,.349,.733,20.9,7.3,1.9,4.0,35.9,.109,1.3,13.3,1597.0
13,IND,Dale Davis,Clemson,16,1094,29606,8706,8605,978,.530,.000,.562,27.1,8.0,7.9,0.9,86.9,.141,0.5,18.4,3662.0
14,SEA,Rich King,Nebraska,4,72,309,135,74,21,.393,.000,.662,4.3,1.9,1.0,0.3,0.2,.036,-6.9,-0.4,0.0
