36,MIN,Craig Smith,Boston College,6,403,6826,3080,1567,322,.553,.037,.661,16.9,7.6,3.9,0.8,16.0,.113,-1.2,1.4,0.0
37,MIN,Bobby Jones,Washington,2,91,867,288,149,44,.442,.306,.685,9.5,3.2,1.6,0.5,1.1,.060,-4.1,-0.5,5149.0
38,GSW,Kosta PeroviÄ‡,,1,7,38,10,13,1,.300,,.667,5.4,1.4,1.9,0.1,0.0,.060,-5.9,0.0,0.0
39,MIL,David Noel,UNC,1,68,792,184,123,65,.367,.321,.860,11.6,2.7,1.8,1.0,0.4,.024,-3.1,-0.2,0.0
40,SEA,Denham Brown,UConn,,,,,,,,,,,,,,,,,,0.0
41,ORL,James Augustine,Illinois,2,27,156,42,33,4,.514,,.500,5.8,1.6,1.2,0.1,0.3,.101,-2.7,0.0,-1.0
42,CLE,Daniel Gibson,Texas,7,397,9316,3115,792,775,.402,.407,.780,23.5,7.8,2.0,2.0,16.0,.082,-1.0,2.4,-1.0
43,NOK,Marcus Vinicius,,2,26,172,50,19,7,.457,.421,.556,6.6,1.9,0.7,0.3,0.2,.056,-3.0,0.0,-1.0
44,ORL,Lior Eliyahu,,,,,,,,,,,,,,,,,,,0.0
45,IND,Alexander Johnson,Florida State,2,102,1302,439,275,30,.517,,.672,12.8,4.3,2.7,0.3,1.5,.056,-4.6,-0.9,0.0
46,UTA,Dee Brown,Illinois,2,68,711,140,69,119,.340,.250,.643,10.5,2.1,1.0,1.8,0.1,.008,-3.0,-0.2,782.0
47,UTA,Paul Millsap,Louisiana Tech,15,1052,30123,14421,7559,2349,.490,.343,.736,28.6,13.7,7.2,2.2,94.9,.151,1.9,29.9,3435.0
48,WAS,Vladimir Veremeenko,,,,,,,,,,,,,,,,,,,0.0
49,DEN,Leon Powe,California,5,239,3320,1484,911,78,.515,.000,.682,13.9,6.2,3.8,0.3,12.0,.174,-1.6,0.3,317.0
