1,MIL,Glenn Robinson,Purdue,11,688,25346,14234,4189,1879,.459,.340,.820,36.8,20.7,6.1,2.7,39.8,.075,0.1,13.5,1092.0
2,DAL,Jason Kidd,California,19,1391,50111,17529,8725,12091,.400,.349,.785,36.0,12.6,6.3,8.7,138.6,.133,3.8,73.4,6088.0
3,DET,Grant Hill,Duke,18,1026,34776,17137,6169,4252,.483,.314,.769,33.9,16.7,6.0,4.1,99.9,.138,3.0,43.6,1232.0
4,MIN,Donyell Marshall,UConn,15,957,25027,10716,6376,1305,.435,.350,.731,26.2,11.2,6.7,1.4,59.0,.113,1.1,19.8,883.0
5,WSB,Juwan Howard,Michigan,19,1208,36654,16159,7428,2663,.469,.120,.764,30.3,13.4,6.1,2.2,59.4,.078,-1.6,3.8,859.0
6,PHI,Sharone Wright,Clemson,4,203,4531,1974,1023,118,.456,.083,.618,22.3,9.7,5.0,0.6,1.4,.015,-4.8,-3.2,0.0
7,LAC,Lamond Murray,California,11,736,18477,8286,3033,978,.430,.360,.759,25.1,11.3,4.1,1.3,19.8,.052,-1.2,4.0,262.0
8,SAC,Brian Grant,Xavier,12,756,21417,7933,5622,923,.490,.214,.746,28.3,10.5,7.4,1.2,54.5,.122,-0.8,6.3,1556.0
9,BOS,Eric Montross,UNC,8,465,8479,2071,2159,207,.490,.000,.478,18.2,4.5,4.6,0.4,8.5,.048,-4.4,-5.2,168.0
10,LAL,Eddie Jones,Temple,14,954,32778,14155,3857,2812,.437,.373,.809,34.4,14.8,4.0,2.9,100.6,.147,3.1,42.3,2765.0
11,SEA,Carlos Rogers,Tennessee State,8,298,5654,2196,1272,182,.536,.258,.562,19.0,7.4,4.3,0.6,11.1,.095,-1.0,1.4,0.0
12,MIA,Khalid Reeves,Arizona,6,277,5837,2167,580,886,.416,.363,.744,21.1,7.8,2.1,3.2,8.4,.069,-1.3,1.0,0.0
13,DEN,Jalen Rose,Michigan,13,923,27925,13220,3193,3527,.443,.355,.801,30.3,14.3,3.5,3.8,47.2,.081,-0.2,12.3,1884.0
14,NJN,Yinka Dare,George Washington,4,110,1002,233,281,4,.396,,.570,9.1,2.1,2.6,0.0,-0.7,-.033,-8.4,-1.6,0.0
15,IND,Eric Piatkowski,Nebraska,14,789,14613,5919,1716,778,.434,.399,.839,18.5,7.5,2.2,1.0,31.0,.102,0.2,7.9,141.0
16,GSW,Clifford Rozier,Louisville,4,173,2984,827,897,98,.496,.182,.465,17.2,4.8,5.2,0.6,3.9,.063,-3.5,-1.1,0.0
17,POR,Aaron McKie,Temple,13,793,19156,5871,2587,2126,.438,.350,.779,24.2,7.4,3.3,2.7,40.0,.100,0.7,12.9,2139.0
18,MIL,Eric Mobley,Pitt,3,113,1570,440,351,57,.541,.750,.475,13.9,3.9,3.1,0.5,1.1,.034,-4.3,-0.9,0.0
19,DAL,Tony Dumas,Missouri-Kansas City,4,156,2222,1140,198,186,.404,.327,.608,14.2,7.3,1.3,1.2,1.3,.027,-3.3,-0.7,0.0
20,PHI,B.J. Tyler,Texas,1,55,809,195,62,174,.381,.314,.700,14.7,3.5,1.1,3.2,-0.7,-.039,-5.0,-0.6,0.0
21,CHI,Dickey Simpkins,Providence,7,327,5201,1388,1187,305,.440,.222,.618,15.9,4.2,3.6,0.9,4.7,.044,-4.5,-3.3,74.0
22,SAS,Bill Curley,Boston College,5,147,1614,394,290,60,.444,.222,.743,11.0,2.7,2.0,0.4,1.6,.047,-5.3,-1.3,7.0
23,PHO,Wesley Person,Auburn,11,733,20727,8192,2402,1234,.457,.418,.778,28.3,11.2,3.3,1.7,44.0,.102,0.9,15.2,783.0
24,NYK,Monty Williams,Notre Dame,9,456,7624,2884,1296,544,.481,.111,.665,16.7,6.3,2.8,1.2,11.4,.072,-1.8,0.3,264.0
25,LAC,Greg Minor,Louisville,5,277,5144,1902,741,384,.478,.226,.767,18.6,6.9,2.7,1.4,8.2,.077,-1.5,0.7,-1.0
26,NYK,Charlie Ward,Florida State,11,630,14080,3947,1648,2539,.408,.364,.771,22.3,6.3,2.6,4.0,33.0,.113,2.1,14.5,1567.0
27,ORL,Brooks Thompson,Oklahoma State,4,168,1714,760,158,281,.409,.376,.647,10.2,4.5,0.9,1.7,2.0,.057,-1.5,0.2,59.0
28,DAL,Deon Thomas,Illinois,,,,,,,,,,,,,,,,,,0.0
29,PHO,Antonio Lang,Duke,6,143,1395,329,210,50,.455,.000,.719,9.8,2.3,1.5,0.3,1.7,.057,-3.8,-0.6,2.0
30,MIN,Howard Eisley,Boston College,12,786,16013,5116,1324,2748,.407,.350,.827,20.4,6.5,1.7,3.5,19.5,.058,-1.7,1.3,1420.0
31,ORL,Rodney Dent,Kentucky,,,,,,,,,,,,,,,,,,0.0
32,WSB,Jim McIlvaine,Marquette,7,401,5927,1072,1243,105,.446,.100,.551,14.8,2.7,3.1,0.3,9.4,.076,-2.2,-0.3,87.0
33,PHI,Derrick Alston,Duquesne,3,139,2657,751,525,94,.489,.143,.487,19.1,5.4,3.8,0.7,2.6,.047,-2.8,-0.5,0.0
34,ATL,Gaylon Nickerson,Northwestern Oklahoma State University,1,4,42,15,5,1,.333,.000,1.000,10.5,3.8,1.3,0.3,0.1,.076,-1.2,0.0,0.0
35,SAC,Michael Smith,Providence,7,449,10552,2527,3193,661,.538,.143,.529,23.5,5.6,7.1,1.5,23.4,.107,-0.1,5.1,22.0
36,BOS,Andrei Fetisov,,,,,,,,,,,,,,,,,,,0.0
37,SEA,Dontonio Wingfield,Cincinnati,4,114,1146,423,275,76,.389,.309,.721,10.1,3.7,2.4,0.7,1.8,.074,-2.6,-0.2,78.0
38,CHH,Darrin Hancock,Kansas,3,133,1395,467,169,89,.530,.333,.579,10.5,3.5,1.3,0.7,1.1,.038,-3.3,-0.5,51.0
39,GSW,Anthony Miller,Michigan State,8,181,1637,510,488,66,.510,.250,.576,9.0,2.8,2.7,0.4,3.8,.110,-2.6,-0.2,48.0
40,MIA,Jeff Webster,Oklahoma,1,11,58,18,7,3,.348,.333,,5.3,1.6,0.6,0.3,0.0,-.030,-5.5,-0.1,0.0
41,IND,William Njoku,,,,,,,,,,,,,,,,,,,0.0
42,CLE,Gary Collier,Tulsa,,,,,,,,,,,,,,,,,,0.0
43,POR,Shawnelle Scott,St. John's,4,105,634,189,228,20,.464,,.465,6.0,1.8,2.2,0.2,1.3,.101,-3.8,-0.3,16.0
44,IND,Damon Bailey,Indiana,,,,,,,,,,,,,,,,,,0.0
45,GSW,Dwayne Morton,Louisville,1,41,395,167,58,18,.388,.360,.682,9.6,4.1,1.4,0.4,0.2,.025,-3.5,-0.1,0.0
46,MIL,Voshon Lenard,Minnesota,11,565,15349,6745,1609,1180,.415,.384,.787,27.2,11.9,2.8,2.1,29.6,.093,0.0,7.9,952.0
47,UTA,Jamie Watson,South Carolina,4,102,1248,323,149,117,.468,.316,.694,12.2,3.2,1.5,1.1,1.2,.045,-1.5,0.2,57.0
48,DET,Jevon Crudup,Missouri,,,,,,,,,,,,,,,,,,0.0
49,CHI,Kris Bruton,Benedict College,,,,,,,,,,,,,,,,,,0.0
50,PHO,Charles Claxton,Georgia,1,3,7,2,2,0,.500,,.000,2.3,0.7,0.7,0.0,0.0,-.179,-18.9,0.0,0.0
51,SAC,Lawrence Funderburke,Ohio State,7,318,4726,2031,1142,183,.506,.118,.675,14.9,6.4,3.6,0.6,12.9,.131,-0.5,1.8,145.0
52,PHO,Anthony Goldwire,Houston,8,266,4951,1667,359,737,.407,.386,.792,18.6,6.3,1.3,2.8,6.4,.062,-1.8,0.3,0.0
53,HOU,Albert Burditt,Texas,,,,,,,,,,,,,,,,,,0.0
54,SEA,Å½eljko RebraÄa,,5,215,3280,1276,688,88,.527,,.792,15.3,5.9,3.2,0.4,8.3,.121,-2.3,-0.2,120.0
